CaseTitle,AccountName,AccountCode,CaseReference,Priority,Status,CreatedOn,ResolvedOn,CSATScore,ResolutionHours
API rate limit reached unexpectedly,Woodgrove Bank,ACC-1005,ACC-1005-C001,Normal,Resolved,2026-08-17 09:00,2026-08-18 00:06,2.41,15.1
Permission change not reflected for team,Woodgrove Bank,ACC-1005,ACC-1005-C002,Normal,Resolved,2026-08-15 09:00,2026-08-15 23:54,2.54,14.9
Scheduled sync failed overnight,Woodgrove Bank,ACC-1005,ACC-1005-C003,Normal,Resolved,2026-08-28 12:00,2026-08-29 03:12,2.72,15.2
Mobile app crashes on record save,Woodgrove Bank,ACC-1005,ACC-1005-C004,Low,Resolved,2026-08-24 12:00,2026-08-25 02:48,2.32,14.8
Notification rules not firing,Woodgrove Bank,ACC-1005,ACC-1005-C005,Normal,Resolved,2026-08-31 14:00,2026-09-01 05:06,2.53,15.1
Notification rules not firing,Woodgrove Bank,ACC-1005,ACC-1005-C006,Normal,Resolved,2026-08-10 11:00,2026-08-11 02:06,2.37,15.1
Export to Excel truncates rows,Woodgrove Bank,ACC-1005,ACC-1005-C007,Normal,Resolved,2026-08-15 15:00,2026-08-16 06:00,2.36,15.0
Attachment upload times out,Woodgrove Bank,ACC-1005,ACC-1005-C008,Normal,Resolved,2026-08-13 08:00,2026-08-13 23:12,2.49,15.2
Integration endpoint returning 500 errors,Woodgrove Bank,ACC-1005,ACC-1005-C009,Normal,Resolved,2026-08-31 13:00,2026-09-01 04:18,2.65,15.3
Mobile app crashes on record save,Woodgrove Bank,ACC-1005,ACC-1005-C010,Normal,Resolved,2026-08-29 16:00,2026-08-30 06:54,2.55,14.9
Duplicate records created after merge,Woodgrove Bank,ACC-1005,ACC-1005-C011,Normal,Resolved,2026-09-01 09:00,2026-09-01 23:24,2.56,14.4
Attachment upload times out,Woodgrove Bank,ACC-1005,ACC-1005-C012,High,Active,2026-08-29 08:00,,,
Integration endpoint returning 500 errors,Contoso Suites,ACC-1006,ACC-1006-C001,Normal,Resolved,2026-08-08 14:00,2026-08-09 07:06,2.16,17.1
Notification rules not firing,Contoso Suites,ACC-1006,ACC-1006-C002,Normal,Resolved,2026-08-08 14:00,2026-08-09 06:54,2.36,16.9
Export to Excel truncates rows,Contoso Suites,ACC-1006,ACC-1006-C003,Normal,Resolved,2026-08-14 08:00,2026-08-15 01:18,2.5,17.3
Mobile app crashes on record save,Contoso Suites,ACC-1006,ACC-1006-C004,Low,Resolved,2026-08-10 16:00,2026-08-11 09:06,2.09,17.1
Data import rejected on validation,Contoso Suites,ACC-1006,ACC-1006-C005,Low,Resolved,2026-08-12 10:00,2026-08-13 03:00,2.51,17.0
Password reset emails not delivered,Contoso Suites,ACC-1006,ACC-1006-C006,Low,Resolved,2026-08-21 11:00,2026-08-22 03:54,2.39,16.9
Notification rules not firing,Contoso Suites,ACC-1006,ACC-1006-C007,Normal,Resolved,2026-08-17 16:00,2026-08-18 09:12,2.38,17.2
Attachment upload times out,Contoso Suites,ACC-1006,ACC-1006-C008,Normal,Resolved,2026-08-27 14:00,2026-08-28 07:06,2.46,17.1
Export to Excel truncates rows,Contoso Suites,ACC-1006,ACC-1006-C009,Low,Resolved,2026-08-23 14:00,2026-08-24 07:12,2.13,17.2
Data import rejected on validation,Contoso Suites,ACC-1006,ACC-1006-C010,Low,Resolved,2026-09-01 08:00,2026-09-02 01:00,2.52,17.0
Permission change not reflected for team,Contoso Suites,ACC-1006,ACC-1006-C011,Normal,Resolved,2026-08-28 12:00,2026-08-29 05:18,2.26,17.3
Scheduled sync failed overnight,Contoso Suites,ACC-1006,ACC-1006-C012,Low,Resolved,2026-08-09 10:00,2026-08-10 01:54,1.84,15.9
Scheduled sync failed overnight,Contoso Suites,ACC-1006,ACC-1006-C013,High,Active,2026-08-26 15:00,,,
Attachment upload times out,Proseware Inc.,ACC-1008,ACC-1008-C001,Normal,Resolved,2026-08-18 08:00,2026-08-18 22:06,2.35,14.1
Duplicate records created after merge,Proseware Inc.,ACC-1008,ACC-1008-C002,Normal,Resolved,2026-08-26 13:00,2026-08-27 03:12,2.61,14.2
Attachment upload times out,Proseware Inc.,ACC-1008,ACC-1008-C003,Normal,Resolved,2026-08-20 11:00,2026-08-21 00:54,2.8,13.9
Data import rejected on validation,Proseware Inc.,ACC-1008,ACC-1008-C004,Normal,Resolved,2026-08-17 16:00,2026-08-18 06:12,2.51,14.2
Invoice export missing line items,Proseware Inc.,ACC-1008,ACC-1008-C005,Normal,Resolved,2026-08-10 10:00,2026-08-11 00:00,2.66,14.0
Integration endpoint returning 500 errors,Proseware Inc.,ACC-1008,ACC-1008-C006,Normal,Resolved,2026-08-24 15:00,2026-08-25 04:54,2.31,13.9
Performance degradation on dashboard load,Proseware Inc.,ACC-1008,ACC-1008-C007,Low,Resolved,2026-08-27 09:00,2026-08-27 22:42,2.96,13.7
Notification rules not firing,Proseware Inc.,ACC-1008,ACC-1008-C008,High,Active,2026-08-26 15:00,,,
Attachment upload times out,Proseware Inc.,ACC-1008,ACC-1008-C009,High,Active,2026-08-25 13:00,,,
